Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time
7          85561      837             8.37            2024-12-18T14:47:03.902041+08:00
11         85555      900             9.00            2024-12-18T14:47:03.903597+08:00
19         85541      1039            10.39           2024-12-18T14:47:03.905848+08:00
22         85549      1096            10.96           2024-12-18T14:47:03.909441+08:00
6          85563      758             7.58            2024-12-18T14:47:03.912263+08:00
13         85547      1063            10.63           2024-12-18T14:47:03.92091+08:00
20         85548      1002            10.02           2024-12-18T14:47:03.920956+08:00
21         85543      1038            10.38           2024-12-18T14:47:03.923407+08:00
0          85552      1070            10.70           2024-12-18T14:47:03.93014+08:00
17         85550      1111            11.11           2024-12-18T14:47:03.946118+08:00
15         85562      900             9.00            2024-12-18T14:47:03.949212+08:00
6          85563      809             8.09            2024-12-18T14:47:03.963329+08:00
22         85549      1150            11.50           2024-12-18T14:47:03.963867+08:00
7          85561      900             9.00            2024-12-18T14:47:03.964082+08:00
5          85544      984             9.84            2024-12-18T14:47:03.966165+08:00
23         85546      1000            10.00           2024-12-18T14:47:03.9725+08:00
12         85556      942             9.42            2024-12-18T14:47:03.99493+08:00
10         85551      1165            11.65           2024-12-18T14:47:04.00995+08:00
4          85545      1107            11.07           2024-12-18T14:47:04.018752+08:00
14         85553      792             7.92            2024-12-18T14:47:04.020139+08:00
22         85549      1210            12.10           2024-12-18T14:47:04.023797+08:00
9          85558      986             9.86            2024-12-18T14:47:04.032335+08:00
8          85557      1002            10.02           2024-12-18T14:47:04.034146+08:00
1          85554      1018            10.18           2024-12-18T14:47:04.034683+08:00
16         85540      1143            11.43           2024-12-18T14:47:04.035914+08:00
18         85542      1169            11.69           2024-12-18T14:47:04.043583+08:00
11         85555      1051            10.51           2024-12-18T14:47:04.055288+08:00
2          85560      1030            10.30           2024-12-18T14:47:04.055873+08:00
3          85559      1038            10.38           2024-12-18T14:47:04.056915+08:00
6          85563      910             9.10            2024-12-18T14:47:04.063943+08:00
19         85541      1210            12.10           2024-12-18T14:47:04.076957+08:00
21         85543      1194            11.94           2024-12-18T14:47:04.078848+08:00
23         85546      1108            11.08           2024-12-18T14:47:04.080521+08:00
0          85552      1222            12.22           2024-12-18T14:47:04.082297+08:00
13         85547      1231            12.31           2024-12-18T14:47:04.088988+08:00
5          85544      1107            11.07           2024-12-18T14:47:04.089386+08:00
20         85548      1183            11.83           2024-12-18T14:47:04.101726+08:00
15         85562      1054            10.54           2024-12-18T14:47:04.10361+08:00
22         85549      1300            13.00           2024-12-18T14:47:04.113+08:00 
12         85556      1062            10.62           2024-12-18T14:47:04.114643+08:00
1          85554      1100            11.00           2024-12-18T14:47:04.116112+08:00
14         85553      888             8.88            2024-12-18T14:47:04.116262+08:00
4          85545      1221            12.21           2024-12-18T14:47:04.13256+08:00
7          85561      1078            10.78           2024-12-18T14:47:04.142603+08:00
17         85550      1310            13.10           2024-12-18T14:47:04.145071+08:00
9          85558      1104            11.04           2024-12-18T14:47:04.149524+08:00
16         85540      1264            12.64           2024-12-18T14:47:04.156645+08:00
13         85547      1300            13.00           2024-12-18T14:47:04.157468+08:00
8          85557      1132            11.32           2024-12-18T14:47:04.164988+08:00
10         85551      1321            13.21           2024-12-18T14:47:04.165373+08:00
6          85563      1016            10.16           2024-12-18T14:47:04.170464+08:00
18         85542      1309            13.09           2024-12-18T14:47:04.183412+08:00
23         85546      1213            12.13           2024-12-18T14:47:04.186042+08:00
19         85541      1328            13.28           2024-12-18T14:47:04.195231+08:00
0          85552      1339            13.39           2024-12-18T14:47:04.198854+08:00
16         85540      1311            13.11           2024-12-18T14:47:04.203941+08:00
5          85544      1226            12.26           2024-12-18T14:47:04.208442+08:00
21         85543      1326            13.26           2024-12-18T14:47:04.210896+08:00
22         85549      1400            14.00           2024-12-18T14:47:04.212999+08:00
3          85559      1197            11.97           2024-12-18T14:47:04.21559+08:00
14         85553      990             9.90            2024-12-18T14:47:04.218039+08:00
20         85548      1299            12.99           2024-12-18T14:47:04.218369+08:00
11         85555      1215            12.15           2024-12-18T14:47:04.219132+08:00
1          85554      1207            12.07           2024-12-18T14:47:04.223177+08:00
2          85560      1203            12.03           2024-12-18T14:47:04.229058+08:00
17         85550      1400            14.00           2024-12-18T14:47:04.234782+08:00
12         85556      1193            11.93           2024-12-18T14:47:04.245983+08:00
4          85545      1347            13.47           2024-12-18T14:47:04.258851+08:00
13         85547      1409            14.09           2024-12-18T14:47:04.266444+08:00
15         85562      1229            12.29           2024-12-18T14:47:04.278521+08:00
9          85558      1235            12.35           2024-12-18T14:47:04.281369+08:00
14         85553      1054            10.54           2024-12-18T14:47:04.282411+08:00
8          85557      1253            12.53           2024-12-18T14:47:04.285924+08:00
10         85551      1443            14.43           2024-12-18T14:47:04.287593+08:00
6          85563      1134            11.34           2024-12-18T14:47:04.288126+08:00
23         85546      1318            13.18           2024-12-18T14:47:04.291044+08:00
16         85540      1400            14.00           2024-12-18T14:47:04.292505+08:00
11         85555      1300            13.00           2024-12-18T14:47:04.303806+08:00
5          85544      1344            13.44           2024-12-18T14:47:04.325821+08:00
14         85553      1100            11.00           2024-12-18T14:47:04.327892+08:00
2          85560      1305            13.05           2024-12-18T14:47:04.330777+08:00
8          85557      1304            13.04           2024-12-18T14:47:04.336633+08:00
3          85559      1321            13.21           2024-12-18T14:47:04.339677+08:00
17         85550      1509            15.09           2024-12-18T14:47:04.343954+08:00
10         85551      1500            15.00           2024-12-18T14:47:04.344182+08:00
9          85558      1309            13.09           2024-12-18T14:47:04.35478+08:00
6          85563      1202            12.02           2024-12-18T14:47:04.355571+08:00
16         85540      1500            15.00           2024-12-18T14:47:04.392506+08:00
21         85543      1509            15.09           2024-12-18T14:47:04.393838+08:00
18         85542      1521            15.21           2024-12-18T14:47:04.395365+08:00
11         85555      1400            14.00           2024-12-18T14:47:04.403591+08:00
19         85541      1537            15.37           2024-12-18T14:47:04.404205+08:00
7          85561      1344            13.44           2024-12-18T14:47:04.408701+08:00
1          85554      1394            13.94           2024-12-18T14:47:04.410275+08:00
3          85559      1400            14.00           2024-12-18T14:47:04.41848+08:00
0          85552      1559            15.59           2024-12-18T14:47:04.418761+08:00
20         85548      1505            15.05           2024-12-18T14:47:04.423853+08:00
4          85545      1513            15.13           2024-12-18T14:47:04.42433+08:00
2          85560      1401            14.01           2024-12-18T14:47:04.426494+08:00
14         85553      1200            12.00           2024-12-18T14:47:04.427893+08:00
5          85544      1451            14.51           2024-12-18T14:47:04.433196+08:00
12         85556      1388            13.88           2024-12-18T14:47:04.440857+08:00
9          85558      1400            14.00           2024-12-18T14:47:04.445503+08:00
8          85557      1426            14.26           2024-12-18T14:47:04.458236+08:00
22         85549      1646            16.46           2024-12-18T14:47:04.459606+08:00
10         85551      1615            16.15           2024-12-18T14:47:04.459789+08:00
13         85547      1610            16.10           2024-12-18T14:47:04.467855+08:00
5          85544      1500            15.00           2024-12-18T14:47:04.481564+08:00
23         85546      1509            15.09           2024-12-18T14:47:04.48224+08:00
21         85543      1600            16.00           2024-12-18T14:47:04.484866+08:00
4          85545      1600            16.00           2024-12-18T14:47:04.510871+08:00
17         85550      1686            16.86           2024-12-18T14:47:04.520885+08:00
11         85555      1518            15.18           2024-12-18T14:47:04.522021+08:00
15         85562      1473            14.73           2024-12-18T14:47:04.52264+08:00
19         85541      1664            16.64           2024-12-18T14:47:04.530461+08:00
1          85554      1515            15.15           2024-12-18T14:47:04.531767+08:00
18         85542      1660            16.60           2024-12-18T14:47:04.535097+08:00
20         85548      1616            16.16           2024-12-18T14:47:04.535219+08:00
6          85563      1388            13.88           2024-12-18T14:47:04.542028+08:00
14         85553      1318            13.18           2024-12-18T14:47:04.546453+08:00
8          85557      1516            15.16           2024-12-18T14:47:04.548582+08:00
2          85560      1528            15.28           2024-12-18T14:47:04.553723+08:00
3          85559      1540            15.40           2024-12-18T14:47:04.559258+08:00
7          85561      1504            15.04           2024-12-18T14:47:04.568229+08:00
12         85556      1516            15.16           2024-12-18T14:47:04.568874+08:00
9          85558      1526            15.26           2024-12-18T14:47:04.571831+08:00
0          85552      1712            17.12           2024-12-18T14:47:04.572203+08:00
19         85541      1713            17.13           2024-12-18T14:47:04.579627+08:00
5          85544      1600            16.00           2024-12-18T14:47:04.581563+08:00
22         85549      1776            17.76           2024-12-18T14:47:04.589166+08:00
16         85540      1698            16.98           2024-12-18T14:47:04.591072+08:00
10         85551      1748            17.48           2024-12-18T14:47:04.592896+08:00
21         85543      1711            17.11           2024-12-18T14:47:04.596563+08:00
23         85546      1626            16.26           2024-12-18T14:47:04.598937+08:00
13         85547      1750            17.50           2024-12-18T14:47:04.608057+08:00
4          85545      1701            17.01           2024-12-18T14:47:04.612583+08:00
8          85557      1600            16.00           2024-12-18T14:47:04.632116+08:00
14         85553      1406            14.06           2024-12-18T14:47:04.634829+08:00
